Matricula,VIN,Año,Fabricante,Modelo,Categoria,DNI_Propietario
1304 BDR,KNABRNRUUYSBCTCV5,2000,Kia,Rio,urbanos,22102404-W
C-7512-QP,SJN51FRV6M3656WS7,1991,Nissan,Micra,urbanos,90051367-L
6180 DSC,WAU76LWGN53J5NLS0,2005,Audi,A3,compacto,90051367-L
3161 BBJ,TMBUCA137YLEPNMD8,2000,Skoda,Fabia,urbanos,95490965-W
VI-2534-KZ,VSSU50EUAM1EKHXUG,1991,SEAT,Toledo,berlina,95490965-W
P-9926-UN,VF1AG324FSKDBL7RU,1995,Renault,Laguna,berlina,24673842-V
CS-5359-BV,ZFAH61EJYL8TT845G,1990,Fiat,Panda,urbanos,24673842-V
4817 GHT,WF00CT4RU8UG68UYY,2008,Ford,Fiesta,deportivo,24673842-V
7984 MLH,ZFAWFS4HPPV573B9J,2023,Fiat,500,deportivo,29332214-S
9544 FJD,W0LMMMBMR6TYHDB42,2006,Opel,Corsa,urbanos,29332214-S
4640 FSJ,W0L172FHL7CNXBSCC,2007,Opel,Astra,deportivo,29332214-S
2103 LTP,JMZLHVFXSM7GSTRGG,2021,Mazda,CX-3,SUV,35256138-J
4685 CVR,VF10UM6854R5PY41V,2004,Renault,Mégane,deportivo,75173153-E
TE-8632-JY,SB1LDCGFKTR67YLYF,1996,Toyota,Corolla,sedán,75173153-E
S-3073-GA,W0LW7MHU7PG7GBJK2,1993,Opel,Astra,compacto,12491323-T
4927 MFG,JMBCSZ012PW7NGUXR,2023,Mitsubishi,ASX,SUV,12491323-T
5293 LXD,ZFATU0Y3JNZDSYFFZ,2022,Fiat,Tipo,compacto,12491323-T
4191 MFZ,JMZLNU4LSPHDSA05V,2023,Mazda,CX-3,SUV,83917547-T
7127 KJV,YV1Z0UUD9JX33JZB0,2018,Volvo,XC40,SUV,83917547-T
3625 LMX,TMA6AR4MDMBBXA93J,2021,Hyundai,i20,urbanos,78472507-A
H-4721-HT,WAUXHCE01WSCL2GBP,1998,Audi,A4,berlina,78472507-A
2088 MNC,UU1ZDLLGXRTDC7HEG,2024,Dacia,Duster,SUV,78472507-A
P-4851-WH,WVWW60V4BTNAS31LE,1996,Volkswagen,Passat,berlina,16819698-M
PM-1088-AM,ZFA23D86WXNG1FR82,1999,Fiat,Panda,urbanos,16819698-M
3052 KLN,W0LB1EMMVJ6U6EJ23,2018,Opel,Astra,compacto,58624633-W
ZA-2931-RW,WVW1BUL98PW66JXY1,1993,Volkswagen,Passat,berlina,57632746-J
6009 GFY,VF3L0JFBT8LZRWTF9,2008,Peugeot,308,compacto,99670755-W
T-3107-PL,WAUXA9TPVTZ1BKTWL,1996,Audi,A4,berlina,99670755-W
3178 CLD,WVWH82WWG3V8V8X38,2003,Volkswagen,Passat,berlina,84528572-F
1699 LYZ,JMZ87KU3KNP42TLB9,2022,Mazda,Mazda 3,deportivo,84528572-F
9967 HPN,ZFALCS3LZDEZE158P,2013,Fiat,Panda,urbanos,72606847-X
6917 HTK,SJNJDZWWPDRHCR6E7,2013,Nissan,Qashqai,SUV,72606847-X
GI-2980-MR,WF0J6N1J3XMM14CX0,1999,Ford,Focus,descapotable,72606847-X
6685 GMN,WAUGYXUPD9NPSHG17,2009,Audi,Q5,SUV,80370269-N
8863 LNN,KNA0JP4Y5MP4ETVZT,2021,Kia,Rio,urbanos,80370269-N
3406 JZP,SJN69JY01HTE2K4PM,2017,Nissan,X-Trail,todoterreno,58106757-V
GC-3060-DU,YV1ZR753XVYK9GP9W,1997,Volvo,V40,compacto,41462273-N
7570 FTP,ZFA5HDE4D7UFVGG0B,2007,Fiat,500,urbanos,27793753-R
7110 LKV,W0LGCSA5KLA7RH4TU,2020,Opel,Insignia,berlina,27793753-R
MA-9508-LK,SB1K4ZX0VTFEUF72E,1996,Toyota,RAV4,todoterreno,27793753-R
4671 HWY,WAUGBPE5HEAF3PT67,2014,Audi,A4,sedán,35144987-K
GR-6462-FK,WDBBYE6GNXFHZPK8J,1999,Mercedes-Benz,Clase C,cupé,35144987-K
4842 GPJ,TMB7DCZ7B9ZDAE276,2009,Skoda,Octavia,berlina,35144987-K
7569 MJB,W0LH5FRUFPCWA4LGR,2023,Opel,Mokka,SUV,14454536-W
5006 LHG,SJNSY85GCLVJJL9JG,2020,Nissan,Qashqai,SUV,14454536-W
SS-2692-KX,VSSG5UKP5P43JF4U3,1993,SEAT,Ibiza,urbanos,17911720-X
7557 LFY,VF7S8RSNHLAR74BM3,2020,Citroën,C4,deportivo,17911720-X
7034 JVH,VF1N7DXLTGZ4J2FEE,2016,Renault,Mégane,berlina,17911720-X
2844 LSG,KNA91NY75MPRGKHP7,2021,Kia,Stonic,SUV,45251331-G
1026 CKB,VF154TX133CX69C70,2003,Renault,Mégane,deportivo,45251331-G
J-5118-PS,W0LBLU6VGSGFG6F5L,1995,Opel,Corsa,deportivo,40402732-N
6001 MDF,SB1TUE329N4W4SMWU,2022,Toyota,Corolla,compacto,40402732-N
LE-7626-QF,WF0NP6T1SLNRP22CR,1990,Ford,Fiesta,urbanos,39286378-D
CU-7021-UY,WBA7XJAXUW0B62PAW,1998,BMW,Serie 3,berlina,39286378-D
CU-8450-CS,SJNSNCFHYNNAUEVTM,1992,Nissan,Micra,urbanos,99204645-X
5745 LLJ,TMBCDEMWPLM8YNHRJ,2020,Skoda,Octavia,berlina,99204645-X
9221 BBJ,VF1JURGSKYPV28U4D,2000,Renault,Clio,urbanos,99204645-X
5766 KLN,VSSWBDDXVJL5Z4GW5,2018,SEAT,Arona,SUV,34814370-Y
C-3313-FH,WBA5A2ND4SXEK47VZ,1995,BMW,Serie 3,deportivo,34814370-Y
2042 MFZ,WVWCSNV31PRYUWE21,2023,Volkswagen,Passat,sedán,34814370-Y
6598 KXR,YV1B02AVNKCLFE7XC,2019,Volvo,XC40,SUV,73880732-V
8121 MVL,JMZA7YGR4RLB4VP63,2024,Mazda,Mazda 3,compacto,66500383-T
B-8703-LW,WBARNYCJ4TMG15AL4,1996,BMW,Serie 3,cupé,66500383-T
8705 LXD,JMBY79NYTN3TFJ12F,2022,Mitsubishi,Outlander,SUV,17576065-V
